52258	37.35	36499
52259	43.43	44742
52260	47.01	49468
52262	26.91	37105
52271	1.80	3480
52274	5.22	4447
52276	16.35	16549
52283	10.62	13444
52284	81.65	90655
52285	39.71	49467
52287	3.86	6635
52288	2.41	4047
52290	48.96	43359
52291	47.15	50889
52292	18.65	18645
52293	7.68	7454
52294	3.71	3957
52364	13.45	19116
52365	27.07	35114
52366	5.31	6362
52367	67.96	65293
52368	0.92	1405
52371	28.90	42775
52372	20.51	34263
52381	20.74	20526
52382	21.72	27277
52384	48.06	57433
52386	24.41	33740
52393	39.28	68844
52394	103.65	122741
52396	60.05	72334
52407	18.11	29716
52408	58.39	77662
52409	35.73	45787
52410	17.39	23716
52411	12.85	18224
52415	18.62	28677
52441	41.09	83881
52457	0.13	1315
52459	0.73	3927
52500	12.57	20564
52501	250.56	407423
52513	11.65	17185
52529	42.93	57202
52530	44.61	59848
52532	87.29	127653
52535	61.55	97781
52538	20.15	30285
52539	46.76	70584
52547	72.32	76842
52548	4.25	4737
52550	67.22	72393
52571	2.86	4808
52573	4.38	6267
52575	5.04	8228
52576	27.27	44528
52577	2.06	3414
52578	11.16	17635
52579	7.59	12965
52580	2.12	3211
52588	5.81	9864
52589	1.96	3660
52590	2.41	4307
52591	0.77	1530
52595	29.50	27467
52596	26.77	23815
52597	4.75	4343
52603	1.04	1417
52607	55.65	56705
52608	32.26	31999
52609	50.30	50847
52612	112.43	160882
52613	1.37	2331
52614	13.00	21761
52623	33.11	31741
52624	8.52	8030
52626	32.85	31638
52627	97.18	89058
52628	30.41	40867
52636	22.39	20063
52638	6.45	5693
52639	12.83	11995
52640	22.48	19809
52641	38.33	33065
52643	4.49	4970
52645	21.39	23688
52646	15.22	17283
52649	3.47	4177
52650	14.05	15756
52651	1.94	2305
52653	1.34	1511
52654	1.39	1657
52656	49.13	56095
52660	1.74	2835
52668	43.42	39642
52669	36.40	32323
52670	5.17	4722
52671	36.33	33211
52672	4.85	4457
52673	60.13	55259
52674	6.86	8045
52675	9.69	11189
52676	26.45	30742
52677	33.56	39004
52678	4.07	4883
52679	2.18	2623
52680	3.87	4652
52681	1.55	1877
52695	37.26	37380
52696	26.21	26263
52697	8.26	11821
52700	8.88	11720
52701	61.42	71790
52702	8.41	10184
52703	49.28	59571
52704	6.76	8301
52705	33.42	40335
52709	5.97	7484
52710	7.53	9165
52711	9.55	15061
52712	4.07	8162
52811	51.79	51168
52813	9.91	30848
52814	61.49	56618
52815	12.74	12304
52816	35.51	42044
52819	57.64	60989
52820	34.40	41136
52821	89.57	117405
52822	115.93	167300
52823	27.90	41196
52824	39.69	47569
52825	13.69	16934
52842	3.38	3585
52843	47.46	62107
52853	3.38	4501
52855	41.19	54426
52856	9.57	14181
52862	204.72	253531
52863	32.02	42161
52864	28.09	36571
52865	28.63	35455
52868	12.38	18289
52869	13.58	18808
52870	19.17	25872
52871	37.38	52842
52872	8.93	15961
52873	63.23	116092
52882	83.21	76366
52885	31.38	37595
52886	58.63	75571
52887	2.30	3174
52888	22.82	28322
52889	170.30	205128
52890	97.03	147896
52891	27.66	51077
52900	52.65	49621
52901	88.75	85292
52902	173.49	176975
52903	122.50	158370
52915	41.23	37457
52916	44.96	42602
52917	35.72	35225
52918	109.46	124141
52919	36.45	36598
52920	17.13	22719
52921	84.36	87750
52947	45.21	17721
52948	8.90	14703
52949	78.69	80269
52950	21.04	24559
52951	168.95	205067
52952	39.50	52668
52953	80.26	124173
52954	15.00	33113
52964	84.39	79250
52965	369.87	390249
52973	56.68	85044
52975	2.55	3630
52976	41.34	55891
52978	7.90	10508
52989	11.94	17656
52990	304.54	367856
52991	93.09	115589
52992	7.74	12525
52993	41.80	66400
52994	2.27	3967
53000	8.87	8864
53001	80.46	76324
53002	76.53	73810
53003	7.30	9074
53015	107.02	123453
53016	9.29	12387
53017	28.83	30305
53025	179.37	154439
53026	7.81	7789
53029	74.17	70471
53031	87.56	136316
53032	38.11	51809
53048	108.70	97786
53049	61.20	57112
53050	112.49	109758
53051	227.74	283917
53093	66.66	66362
53094	32.74	35736
53096	82.91	97172
53097	6.28	8038
53098	15.87	22857
53099	72.58	112210
53115	75.56	69515
53116	27.51	24445
53117	223.74	221258
53118	199.06	258979
53126	189.83	205595
53127	298.72	317895
53128	14.51	23446
53129	3.88	7841
53137	55.53	49432
53139	112.04	100755
53140	89.42	102068
53143	117.42	133762
53145	107.81	131490
53146	4.67	6908
53147	6.16	10153
53159	234.38	203517
53160	138.23	154260
53161	52.62	59814
53162	21.68	25103
53167	53.16	48141
53168	157.56	143388
53169	148.91	177181
53170	30.48	40673
53178	125.80	115817
53179	88.36	86108
53180	65.25	77141
53181	154.35	185805
53183	23.01	29383
53184	67.79	88935
53185	26.70	45795
53193	15.09	16403
53194	188.47	182987
53200	44.41	41757
53202	60.95	58196
53203	19.14	19390
53211	173.50	196957
53212	59.57	66055
53213	52.75	56750
53214	71.57	93599
53215	49.48	80800
53219	45.82	59596
53220	90.29	131500
53221	112.31	141311
53222	135.89	158166
53223	78.15	108086
53224	15.55	18447
53235	203.72	221028
53236	95.71	109812
53237	32.79	47271
53242	69.03	63646
53243	197.06	203663
53244	161.44	190524
53245	110.02	148713
53249	3.38	6165
53255	241.63	252673
53256	90.17	120459
53258	44.33	54332
53259	3.83	4122
53260	18.80	23892
53262	5.26	5613
53263	10.17	13335
53266	46.76	67382
53275	61.86	65695
53276	62.13	77646
53278	10.30	12078
53280	87.25	95392
53281	4.66	6444
53282	86.99	139610
53299	4.28	4681
53300	148.38	154144
53301	54.35	64578
53302	47.11	59158
53303	37.61	46090
53304	143.02	184628
53305	26.91	45916
53306	13.32	27979
53314	233.12	235787
53326	199.26	178068
53327	90.08	97672
53328	92.56	96952
53329	3.49	4245
53330	84.93	97543
53331	23.23	31570
53332	7.42	9547
53333	18.33	31274
53338	6.66	5942
53340	87.97	81667
53341	36.71	35419
53342	58.54	82239
53355	13.97	12716
53356	388.67	340847
53358	22.37	20975
53359	9.17	8458
53360	75.66	87197
53362	34.08	41966
53363	10.30	16261
53373	83.13	75548
53374	19.31	17132
53375	166.84	160261
53376	144.39	137738
53377	63.42	75354
53378	14.54	21658
53394	261.86	234554
53395	93.64	110081
53396	83.25	97426
53401	13.09	15610
53433	60.56	57796
53434	108.40	104780
53435	3.63	3269
53436	56.53	56334
53437	218.50	301258
53438	115.64	108843
53439	3.33	4643
53440	183.36	183474
53441	7.43	8846
53451	151.43	138130
53452	8.26	7724
53453	20.74	22071
53454	222.68	209073
53455	131.41	164017
53456	114.59	169538
53460	32.56	36177
53461	120.26	110598
53462	7.97	10275
53463	35.14	48552
53464	2.65	4886
53471	15.56	14576
53473	111.39	105014
53475	6.37	5958
53476	118.28	112443
53478	81.48	105638
53486	28.80	35044
53487	12.88	10878
53488	15.61	13456
53489	0.28	419
53492	62.38	54127
53493	159.82	167890
53496	129.48	172858
53505	347.65	357276
53508	308.24	353165
53518	30.83	31462
53519	198.90	178182
53520	243.57	305836
53529	2.28	2206
53530	69.70	95424
53533	175.12	166329
53536	118.72	116316
53537	67.55	65511
53538	85.61	86391
53539	30.19	34845
53540	78.05	104254
53546	74.01	64934
53554	67.20	60762
53555	17.46	16370
53556	20.21	20429
53558	14.11	13569
53559	65.53	58704
53565	126.50	122268
53566	33.28	34780
53569	76.13	81802
53576	115.52	131665
53578	16.29	16591
53579	157.56	193568
53581	6.40	6953
53582	82.88	85109
53583	274.71	353215
53585	56.08	79641
53586	59.14	102041
53591	412.58	421500
53592	79.03	101323
53593	135.41	197150
53599	109.68	109305
53600	171.79	200687
53606	45.64	58343
53607	102.13	140737
53614	171.52	196200
53615	8.68	16859
53616	106.45	111226
53617	7.98	12863
53618	221.38	279965
53625	457.77	454514
53626	26.67	28178
53627	21.69	23445
53631	36.12	36953
53632	122.32	125431
53633	5.56	5646
53634	2.57	2895
53635	13.56	14284
53636	11.80	12773
53640	8.73	11797
53642	48.30	70474
53656	7.50	6966
53657	70.51	61501
53658	234.79	268024
53661	3.39	3872
53662	71.51	86757
53663	83.63	103039
53664	50.76	84171
53671	34.93	31505
53672	177.26	160551
53673	221.35	267136
53679	17.52	16911
53680	56.21	53334
53682	185.06	167989
53683	287.52	332062
53692	116.82	112698
53698	55.36	57849
53699	188.64	203331
53700	78.73	128986
53709	5.89	5801
53715	77.90	82645
53720	76.72	75404
53721	286.33	363565
53722	21.52	32536
53728	162.43	163060
53729	93.93	96816
53730	80.18	90728
53731	23.59	28191
53732	145.60	178261
53733	15.53	22218
53736	50.40	65751
53737	1.22	2307
53748	23.82	20828
53749	16.18	14604
53750	30.15	27829
53751	21.62	19719
53753	3.83	3642
53754	10.98	10412
53755	18.61	17510
53757	29.05	27768
53758	11.62	11131
53759	13.78	14140
53760	15.78	15530
53761	15.03	15137
53762	5.54	5586
53763	18.52	18700
53764	13.14	13919
53765	19.88	21924
53773	89.96	91320
53774	13.62	15457
53776	184.69	188171
53777	17.20	17847
53778	35.85	47924
53779	4.70	6869
53780	50.77	72403
53781	6.08	8704
53789	29.73	35811
53791	94.58	97682
53792	354.58	342654
53793	164.94	212088
53797	106.04	111563
53798	382.37	378771
53799	15.82	19311
53800	55.86	86168
53801	3.83	6258
53805	226.76	224762
53806	153.92	158403
53807	107.49	136678
53808	16.82	22489
53809	61.44	118604
53821	140.63	152947
53823	99.51	139340
53824	73.76	97223
53825	73.79	104778
53827	13.45	24230
53828	23.20	41423
53838	8.72	8062
53839	9.85	9511
53840	47.19	45012
53841	43.94	46228
53842	257.21	287903
53843	80.78	114442
53858	17.69	16357
53859	5.31	5320
53860	11.75	11044
53861	77.25	73382
53862	14.33	13850
53863	1.65	2391
53864	37.79	46160
53865	123.25	150169
53866	59.31	82404
53880	0.00	13168
53882	0.00	19802
53883	0.00	33133
53884	0.00	6078
53885	0.00	3415
53886	0.00	15116
53887	0.00	169300
53888	0.00	12587
53889	0.00	91084
53900	0.00	1289
53901	0.00	1927
53902	0.00	5325
53903	0.00	6372
53904	0.00	74187
53905	0.00	80193
53906	0.00	82340
53917	16.19	17343
53918	5.62	5952
53919	32.61	35421
53920	156.30	172143
53921	190.82	214474
53931	59.71	59613
53932	83.56	77580
53933	35.30	41965
53934	12.84	15759
53937	54.09	66863
53938	139.46	187661
53948	3.84	3786
53949	13.21	12018
53951	10.88	10389
53953	0.00	35756
53956	0.00	9419
53957	0.00	79504
53959	0.00	24369
53960	0.00	20005
53961	0.00	56337
53962	0.00	10004
53976	0.00	12979
53977	0.00	26817
53985	0.00	38493
53986	0.00	50983
53988	0.00	18999
53989	0.00	18024
53990	0.00	6410
53991	0.00	73638
53992	0.00	80207
53993	0.00	2310
53994	0.00	105748
54003	10.32	10999
54004	55.76	57878
54010	19.26	19900
54011	11.15	12513
54017	57.76	58571
54018	27.63	28721
54019	119.81	122198
54020	37.68	45249
54021	185.26	203168
54023	118.34	141763
54031	28.14	32319
54035	82.90	88354
54037	182.91	194142
54038	85.51	92030
54039	122.07	137189
54043	26.08	28800
54047	7.45	10125
54048	85.58	91159
54049	25.69	25868
54051	47.51	49630
54052	48.84	51056
54053	43.42	44405
54054	13.83	14207
54055	10.60	11034
54056	11.00	11589
54057	24.68	25923
54058	26.25	28762
54060	77.19	80419
54062	21.44	22024
54064	30.13	43423
54070	36.11	43963
54071	11.48	14297
54075	60.20	75777
54076	58.61	72371
54113	2.70	7573
54114	20.12	62411
54115	26.79	79585
54116	26.86	88043
54126	5.11	10701
54127	25.37	59477
54128	57.61	144815
54129	22.33	53890
54130	26.68	63729
54131	31.14	74466
54138	7.18	15407
54139	25.65	68557
54140	16.98	48341
54141	26.80	71116
54142	130.75	322381
54143	54.11	142549
54152	5.76	13365
54153	16.54	40754
54155	47.67	88860
54157	85.28	173248
54158	107.66	243261
54164	64.26	106722
54165	38.07	66246
54171	104.67	140905
54172	63.16	92739
54173	10.26	16340
54174	91.10	146361
54175	46.35	92368
54176	4.74	11882
54183	76.43	83362
54184	8.06	9099
54185	96.54	115838
54186	35.21	44095
54187	65.24	86186
54188	28.85	36624
54189	27.37	32359
54190	29.94	37016
54191	74.93	108353
54192	89.42	141489
54193	42.35	115328
54217	11.66	12782
54218	6.50	6925
54220	34.51	36443
54221	373.61	407903
54222	129.57	185683
54229	117.39	114794
54230	244.73	254375
54231	120.09	146611
54232	53.15	64255
54233	51.71	61358
54242	40.95	37999
54243	498.25	499902
54244	157.87	223204
54245	41.90	65547
54246	24.35	41206
54247	3.66	6875
54256	430.31	450929
54257	157.21	222925
54264	38.04	35960
54270	78.25	75034
54271	4.32	4278
54287	104.72	115111
54288	219.29	256978
54289	5.23	5983
54290	1.82	2347
54295	232.76	229427
54296	181.56	197550
54305	74.07	72477
54307	30.84	32403
54308	37.69	39691
54314	170.12	163386
54315	7.77	9679
54316	27.62	27912
54317	198.93	198898
54326	70.72	69161
54327	191.84	188209
54328	93.85	100368
54329	28.82	32289
54330	117.85	133110
54331	46.97	69374
54332	113.37	185454
54333	31.11	58056
54342	184.85	174674
54344	229.48	226024
54345	89.51	99892
54346	18.44	22935
54347	8.64	10462
54348	7.62	9595
54356	118.11	105196
54357	277.08	271501
54358	80.75	117508
54359	221.48	333621
54360	3.36	6006
54361	12.82	22618
54362	5.50	9086
54363	35.35	59800
54368	106.47	101251
54369	4.65	4812
54370	150.84	159628
54372	37.62	39007
54373	39.24	42182
54375	131.58	190385
54383	135.78	133844
54384	15.92	19199
54388	225.20	259568
54389	100.28	134996
54401	71.80	73288
54402	44.76	51024
54403	73.42	108999
54414	34.12	30575
54416	12.92	11776
54417	130.94	142834
54419	3.98	4649
54431	19.24	19590
54432	131.12	131825
54433	84.94	85925
54446	109.52	103694
54448	179.28	184656
54449	150.61	164056
54450	57.14	62185
54451	15.64	18093
54452	96.58	112690
54453	9.09	15938
54454	3.18	4196
54455	9.67	13682
54456	47.73	70719
54468	25.20	23610
54470	27.68	26502
54471	247.51	265228
54473	14.21	20062
54480	150.70	167469
54481	312.63	352112
54482	217.49	287875
54490	43.25	42075
54491	65.18	73107
54492	320.08	376087
54493	114.83	137257
54494	152.85	215892
54500	254.67	246897
54501	45.74	49021
54502	483.57	563043
54503	31.32	39786
54506	22.83	30539
54512	59.30	62864
54516	23.09	22053
54517	100.81	110206
54519	108.87	142920
54520	214.61	277521
54521	148.92	192127
54528	23.17	21690
54529	21.29	19950
54530	578.68	588459
54531	116.36	130309
54534	130.45	164778
54546	227.75	213942
54547	165.61	160207
54548	40.27	40273
54549	89.73	92586
54557	239.44	213481
54558	35.82	33551
54559	23.72	22236
54560	18.43	17354
54561	70.51	81437
54562	63.44	73981
54564	33.73	29605
54565	230.67	208404
54566	62.60	63646
54567	52.39	52588
54568	64.36	77913
54569	52.32	83330
54570	59.24	71158
54571	75.43	94148
54581	318.28	298052
54582	153.03	150859
54587	177.43	184576
54588	5.41	7212
54589	75.77	102337
54593	326.10	293789
54596	63.36	59173
54597	182.41	168761
54599	136.56	164976
54601	62.89	81696
54612	27.00	24646
54613	143.19	126428
54614	133.94	117116
54615	207.45	191443
54616	152.51	193355
54617	9.59	15522
54623	14.62	14055
54624	350.23	341982
54626	72.37	70026
54627	129.64	122966
54628	103.34	98785
54629	86.99	86029
54635	5.97	5399
54639	101.95	94733
54642	136.21	145594
54643	3.09	6047
54648	333.12	310666
54649	39.73	45737
54650	164.72	196505
54657	332.81	318967
54662	253.17	226001
54663	264.74	241505
54664	8.55	10410
54665	3.40	4462
54666	26.93	31604
54667	128.27	151387
54672	465.74	458574
54673	63.35	94303
54678	37.56	32771
54679	80.45	72601
54680	216.12	217761
54681	56.49	63962
54682	107.41	111952
54684	113.63	137718
54685	3.06	4272
54758	22.15	20043
54759	14.31	15722
54765	58.64	59260
54766	54.94	58756
54767	10.26	15994
54768	57.47	60729
54772	27.17	33217
54775	10.42	9746
54776	5.14	5154
54777	48.32	45242
54780	7.58	7192
54783	37.61	53310
54784	17.18	24526
54785	13.25	17863
54786	22.19	33159
54791	10.95	10583
54792	71.99	67103
54793	45.31	55727
54806	157.39	136683
54807	29.52	33585
54808	5.42	6354
54809	17.61	20051
54811	17.18	20433
54814	70.56	89148
54815	18.68	23359
54816	23.73	31245
54817	5.73	8050
54818	20.97	31411
54823	14.33	12873
54824	79.21	86707
54831	61.93	52586
54833	72.01	77498
54835	6.83	9378
54836	75.17	126001
54837	11.98	22149
54838	2.80	5695
54844	6.51	6111
54851	6.09	10205
54856	20.54	18826
54857	35.68	41864
54863	93.53	116072
54864	61.30	80059
54868	93.94	80770
54869	13.34	14546
54870	59.09	64897
54874	176.95	214107
54877	24.23	35040
54878	22.21	27536
54881	9.71	18824
54882	13.40	26859
54887	4.63	5589
54888	4.42	4393
54889	36.66	37177
54890	94.81	138403
54891	29.76	40067
54892	0.98	1710
54893	0.95	1798
54897	260.00	225181
54898	96.08	126048
54903	29.58	24837
54904	21.43	19191
54905	12.65	11365
54906	37.12	31741
54907	336.26	373149
54908	13.17	17861
54909	7.08	10429
54910	5.46	9644
54918	44.13	36136
54919	95.87	82917
54921	29.36	26056
54922	19.30	18025
54923	11.27	10303
54924	24.38	22607
54925	151.86	146803
54926	20.83	21636
54927	59.13	75564
54933	241.79	212326
54934	111.17	146855
54941	119.59	97238
54942	262.32	296434
54943	132.33	173114
54969	9.03	7334
54970	246.56	259155
54975	55.55	45896
54976	65.19	67117
54977	109.90	116338
54978	64.48	71897
54979	82.56	97139
54980	44.47	54323
54981	46.56	57837
54982	86.49	110961
55010	178.12	189885
55011	106.02	120353
55019	91.07	78124
55020	10.36	12061
55021	117.34	109380
55022	47.12	44685
55023	259.33	325377
55024	61.61	83052
55035	42.22	39440
55036	382.06	338901
55037	61.52	75148
55038	21.76	31079
55043	322.84	275442
55044	157.94	180545
55049	157.46	124493
55050	19.55	16025
55051	152.57	124892
55058	80.72	66402
55059	3.34	2870
55060	269.71	294270
55061	8.07	11116
55064	331.34	282928
55065	63.91	74704
55066	148.19	179122
55071	386.91	331751
55072	62.03	70264
55074	27.54	33970
55075	6.05	7793
55076	20.82	26893
55077	35.70	47564
55081	398.38	327422
55082	114.74	127747
55083	38.17	44219
55084	74.01	104984
55087	163.66	140541
55088	122.90	113214
55089	79.32	91052
55090	122.17	145734
55091	23.59	24587
55097	83.80	73668
55099	133.31	128959
55100	11.66	16227
55101	19.97	27983
55102	189.50	262438
55120	195.83	215575
55125	68.32	72725
55130	11.48	12305
55135	24.93	25601
55136	20.64	21527
55137	167.47	188985
55141	2.00	1891
55144	116.92	101561
55146	69.42	63978
55147	26.65	25207
55148	28.60	26259
55149	258.76	319498
55159	210.37	212684
55160	12.13	11365
55161	16.51	19615
55162	25.75	31933
55163	153.17	176879
55164	96.24	115110
55171	125.55	101533
55172	429.88	473962
55173	28.52	35623
55179	302.88	249116
55180	261.08	338179
55181	0.20	460
55182	2.13	4462
55189	36.20	29993
55190	34.26	29281
55191	58.70	50924
55192	89.19	78601
55193	24.92	28873
55197	10.58	11908
55198	7.82	8888
55199	42.59	49085
55202	154.01	127379
55203	119.35	106018
55204	153.33	179764
55211	2.55	2971
55215	14.36	12009
55217	55.29	46826
55218	97.69	101476
55222	59.49	52459
55223	17.63	16558
55224	25.43	23624
55228	3.00	2860
55230	44.37	42168
55231	37.47	44826
55234	65.51	77703
55236	11.97	15248
55251	19.43	21390
55252	62.69	55473
55253	106.50	97160
55254	19.23	22037
55292	11.09	10071
55293	7.22	8319
55296	6.74	7692
55298	11.19	12890
55300	21.09	22378
55301	31.95	34686
55302	7.35	7905
55303	68.80	74775
55304	25.31	28183
55305	44.52	50601
55311	127.01	110867
55312	6.11	6780
55313	90.73	102252
55314	13.15	16717
55320	91.90	98667
55321	6.41	7187
55324	73.67	63461
55325	204.91	183456
55326	365.24	429010
55327	65.27	80301
55333	292.26	284266
55335	122.80	150140
55336	4.13	5236
55337	24.12	29165
55338	34.77	42577
55339	96.94	122782
55340	7.22	10360
55345	66.78	55018
55346	443.57	384333
55347	92.47	105999
55349	85.31	102375
55353	183.29	163186
55354	347.54	329827
55358	249.46	298911
55359	3.72	5851
55366	12.44	13266
55367	44.29	39046
55368	20.27	17802
55369	7.44	8165
55372	40.84	34265
55373	4.76	4058
55374	61.13	49537
55376	155.47	168596
55384	47.04	38126
55385	165.64	139471
55388	33.60	34229
55389	52.63	54688
55399	50.02	41096
55400	133.19	113507
55408	36.03	32700
55411	5.78	10779
55417	185.76	166561
55420	54.70	56683
55423	88.53	89820
55424	2.51	3774
55425	23.01	32329
55462	49.82	43217
55470	47.25	40091
55471	63.67	54751
55473	108.12	98742
55474	27.44	25785
55475	93.25	84380
55478	13.25	13385
55482	238.21	192260
55483	7.42	7947
55484	75.11	78948
55499	565.59	573463
55500	8.35	11038
55506	110.32	103944
55507	209.84	190125
55508	45.91	42544
55514	39.98	43036
55515	57.09	65644
55519	65.63	62777
55522	3.76	5080
55523	4.20	5691
55524	5.25	7455
55535	64.01	56700
55543	150.73	131986
55544	57.92	53272
55686	63.08	51619
55687	57.43	50800
55688	283.33	263585
55689	17.99	17013
55692	176.89	213809
55695	61.60	53738
55696	12.44	10682
55698	362.57	329522
55699	11.54	13306
55700	54.68	64246
55701	88.43	107638
55702	6.67	9128
55707	590.88	529252
55711	242.35	209339
55718	29.54	24588
55720	38.89	33839
55721	3.40	3127
55722	222.00	195043
55723	97.21	89471
55725	260.67	241882
55730	17.08	14452
55731	124.44	105904
55732	527.25	479569
55733	85.52	85786
55734	14.65	19695
55738	290.98	245583
55743	55.58	46257
55745	38.39	35378
55747	73.96	78292
55752	76.67	79463
55753	18.82	20977
55760	208.79	185505
55761	17.56	16944
55762	399.20	403343
55768	54.79	50840
55769	4.00	3882
55774	11.29	9832
55775	32.51	29498
55779	4.03	3750
55780	21.70	24896
55783	7.54	6390
55786	36.91	42392
55789	23.33	21956
55790	88.59	79870
55792	15.85	15405
55793	411.92	400960
55794	41.15	42823
55799	32.13	35093
55809	56.88	50705
55810	11.38	10645
55812	74.95	85693
55813	23.53	28720
55814	54.72	62978
55815	105.86	109652
55816	10.15	10775
55817	105.17	101146
